id,year,pop,state,state_abbrev,state_fips
1,2006,4628981,ALABAMA,AL,1
1,2013,4830460,ALABAMA,AL,1
1,2017,4875120,ALABAMA,AL,1
1,2001,4467634,ALABAMA,AL,1
1,2012,4815564,ALABAMA,AL,1
1,2000,4452173,ALABAMA,AL,1
1,2004,4530729,ALABAMA,AL,1
1,2009,4757938,ALABAMA,AL,1
1,2011,4798834,ALABAMA,AL,1
1,2003,4503491,ALABAMA,AL,1
1,2002,4480089,ALABAMA,AL,1
1,2016,4864745,ALABAMA,AL,1
1,2014,4842481,ALABAMA,AL,1
1,2005,4569805,ALABAMA,AL,1
1,2010,4779736,ALABAMA,AL,1
1,2007,4672840,ALABAMA,AL,1
1,2008,4718206,ALABAMA,AL,1
1,2015,4853160,ALABAMA,AL,1
1,2018,4887871,ALABAMA,AL,1
2,2003,648414,ALASKA,AK,2
2,2018,737438,ALASKA,AK,2
2,2006,675302,ALASKA,AK,2
2,2014,736307,ALASKA,AK,2
2,2012,730399,ALASKA,AK,2
2,2007,680300,ALASKA,AK,2
2,2017,739786,ALASKA,AK,2
2,2015,737547,ALASKA,AK,2
2,2005,666946,ALASKA,AK,2
2,2001,633714,ALASKA,AK,2
2,2000,627963,ALASKA,AK,2
2,2004,659286,ALASKA,AK,2
2,2016,741504,ALASKA,AK,2
2,2009,698895,ALASKA,AK,2
2,2002,642337,ALASKA,AK,2
2,2013,737045,ALASKA,AK,2
2,2008,687455,ALASKA,AK,2
2,2011,722038,ALASKA,AK,2
2,2010,710231,ALASKA,AK,2
3,2011,6473497,ARIZONA,AZ,4
3,2000,5160586,ARIZONA,AZ,4
3,2016,6945452,ARIZONA,AZ,4
3,2003,5510364,ARIZONA,AZ,4
3,2008,6280362,ARIZONA,AZ,4
3,2015,6833596,ARIZONA,AZ,4
3,2002,5396255,ARIZONA,AZ,4
3,2018,7171646,ARIZONA,AZ,4
3,2013,6634999,ARIZONA,AZ,4
3,2006,6029141,ARIZONA,AZ,4
3,2004,5652404,ARIZONA,AZ,4
3,2012,6556629,ARIZONA,AZ,4
3,2017,7048876,ARIZONA,AZ,4
3,2001,5273477,ARIZONA,AZ,4
3,2007,6167681,ARIZONA,AZ,4
3,2014,6733840,ARIZONA,AZ,4
3,2005,5839077,ARIZONA,AZ,4
3,2009,6343154,ARIZONA,AZ,4
3,2010,6392017,ARIZONA,AZ,4
4,2001,2691571,ARKANSAS,AR,5
4,2008,2874554,ARKANSAS,AR,5
4,2013,2959549,ARKANSAS,AR,5
4,2006,2821761,ARKANSAS,AR,5
4,2005,2781097,ARKANSAS,AR,5
4,2010,2915918,ARKANSAS,AR,5
4,2007,2848650,ARKANSAS,AR,5
4,2016,2990410,ARKANSAS,AR,5
4,2011,2940407,ARKANSAS,AR,5
4,2000,2678588,ARKANSAS,AR,5
4,2015,2978407,ARKANSAS,AR,5
4,2018,3013825,ARKANSAS,AR,5
4,2012,2952109,ARKANSAS,AR,5
4,2017,3002997,ARKANSAS,AR,5
4,2003,2724816,ARKANSAS,AR,5
4,2009,2896843,ARKANSAS,AR,5
4,2014,2967726,ARKANSAS,AR,5
4,2002,2705927,ARKANSAS,AR,5
4,2004,2749686,ARKANSAS,AR,5
5,2006,36021202,CALIFORNIA,CA,6
5,2018,39557045,CALIFORNIA,CA,6
5,2011,37641823,CALIFORNIA,CA,6
5,2007,36250311,CALIFORNIA,CA,6
5,2000,33987977,CALIFORNIA,CA,6
5,2002,34871843,CALIFORNIA,CA,6
5,2003,35253159,CALIFORNIA,CA,6
5,2014,38625139,CALIFORNIA,CA,6
5,2012,37960782,CALIFORNIA,CA,6
5,2015,38953142,CALIFORNIA,CA,6
5,2008,36604337,CALIFORNIA,CA,6
5,2016,39209127,CALIFORNIA,CA,6
5,2009,36961229,CALIFORNIA,CA,6
5,2001,34479458,CALIFORNIA,CA,6
5,2010,37253956,CALIFORNIA,CA,6
5,2005,35827943,CALIFORNIA,CA,6
5,2013,38280824,CALIFORNIA,CA,6
5,2004,35574576,CALIFORNIA,CA,6
5,2017,39399349,CALIFORNIA,CA,6
6,2018,5695564,COLORADO,CO,8
6,2010,5029196,COLORADO,CO,8
6,2003,4528732,COLORADO,CO,8
6,2013,5270482,COLORADO,CO,8
6,2001,4425687,COLORADO,CO,8
6,2000,4326921,COLORADO,CO,8
6,2012,5193721,COLORADO,CO,8
6,2004,4575013,COLORADO,CO,8
6,2005,4631888,COLORADO,CO,8
6,2015,5452107,COLORADO,CO,8
6,2011,5121771,COLORADO,CO,8
6,2007,4803868,COLORADO,CO,8
6,2017,5615902,COLORADO,CO,8
6,2014,5351218,COLORADO,CO,8
6,2008,4889730,COLORADO,CO,8
6,2016,5540921,COLORADO,CO,8
6,2002,4490406,COLORADO,CO,8
6,2006,4720423,COLORADO,CO,8
6,2009,4972195,COLORADO,CO,8
7,2011,3588023,CONNECTICUT,CT,9
7,2012,3594395,CONNECTICUT,CT,9
7,2004,3496094,CONNECTICUT,CT,9
7,2000,3411777,CONNECTICUT,CT,9
7,2018,3572665,CONNECTICUT,CT,9
7,2008,3545579,CONNECTICUT,CT,9
7,2003,3484336,CONNECTICUT,CT,9
7,2005,3506956,CONNECTICUT,CT,9
7,2017,3573880,CONNECTICUT,CT,9
7,2013,3594915,CONNECTICUT,CT,9
7,2016,3578674,CONNECTICUT,CT,9
7,2010,3574097,CONNECTICUT,CT,9
7,2006,3517460,CONNECTICUT,CT,9
7,2002,3458749,CONNECTICUT,CT,9
7,2007,3527270,CONNECTICUT,CT,9
7,2001,3432835,CONNECTICUT,CT,9
7,2009,3561807,CONNECTICUT,CT,9
